inputs:20
outputs:4
patterns:52
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,350,0,300,0
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,300,0,350,0
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,350,0,300,0
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,300,0,350,0
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,250,0,200,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,500,0,500,0
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,100,100,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,200,0,200,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,300,0,350,0
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,100,0,0,100
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,150,0,200,0
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,100,100,0
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100,100,0
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,350,0,400,0
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,150,0,200,0
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,350,0,300,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100,0,0,100
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,400,0,350,0
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,100,100,0
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,100,100,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,200,0,200,0
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,100,0,0,100
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,100,0,0,100
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,150,0,200,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,100,100,0
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,300,0,250,0
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,400,0,350,0
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,250,0,300,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,200,0,150,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,100,100,0
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,300,0,250,0
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,100,0,0,100
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,250,0,300,0
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,300,0,350,0
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100,100,0
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,150,0,200,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,250,0,200,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,200,0,150,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,100,0,0,100
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,400,0,400,0
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,300,0,350,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,100,100,0
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,150,0,200,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100,0,0,100
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,250,0,300,0
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,200,0,150,0
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,200,0,150,0
0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,350,0,400,0
0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,200,0,150,0
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,100,100,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,100,0,0,100
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,500,0,500,0
